Timestamp,CPU_usage
1711666280675,7.1429
1711666280926,11.1111
1711666281176,6.0606
1711666281427,3.0928
1711666281678,8.0808
1711666281928,6.0606
1711666282179,4.1237
1711666282430,5.0000
1711666282680,7.9208
1711666282930,25.7426
1711666283181,5.0505
1711666283431,9.9010
1711666283682,4.1237
1711666283933,5.1020
1711666284183,12.7451
1711666284434,3.0928
1711666284684,6.9307
1711666284935,6.0606
1711666285185,5.0505
1711666285436,4.0816
1711666285687,5.0505
1711666285937,11.7647
1711666286188,6.0606
1711666286438,5.0505
1711666286689,5.1020
1711666286939,8.2474
1711666287190,6.1856
1711666287441,3.0612
1711666287691,8.0808
1711666287942,6.1224
1711666288192,5.0505
1711666288443,5.0505
1711666288694,16.4948
1711666288944,30.3030
1711666289194,13.1313
1711666289445,21.4286
1711666289695,25.5102
1711666289946,39.2157
